Semana,Fecha,Infectados,Expuestos,Recuperados,Susceptibles
0,01/03/2020,1,125,1,4132021
1,08/03/2020,3,142,1,4132002
2,15/03/2020,7,181,2,4131958
3,22/03/2020,19,221,4,4131904
4,29/03/2020,37,279,7,4131825
5,05/04/2020,55,318,8,4131767
6,12/04/2020,92,395,12,4131649
7,19/04/2020,148,508,17,4131475
8,26/04/2020,238,576,24,4131310
9,03/05/2020,400,629,36,4131083
10,10/05/2020,834,708,68,4130538
11,17/05/2020,1400,805,105,4129838
12,24/05/2020,2085,909,144,4129010
13,31/05/2020,3143,986,202,4127817
14,07/06/2020,4190,1067,251,4126640
15,14/06/2020,5317,1185,299,4125347
16,21/06/2020,6469,1281,342,4124056
17,28/06/2020,7758,1435,388,4122567
18,05/07/2020,9031,1589,428,4121100
19,12/07/2020,10131,1757,456,4119804
20,19/07/2020,11213,1914,481,4118540
21,26/07/2020,12134,2002,496,4117516
22,02/08/2020,12958,2110,507,4116573
23,09/08/2020,13704,2205,514,4115725
24,16/08/2020,14377,2269,518,4114984
25,23/08/2020,15033,2326,520,4114269
26,30/08/2020,15701,2388,523,4113536
