Semana,Fecha,Infectados,Expuestos,Recuperados,Susceptibles
0,19/09/2021,78329,4983,860,4047976
1,26/09/2021,79265,5068,860,4046955
2,03/10/2021,80074,5083,858,4046133
3,10/10/2021,80763,5097,855,4045433
4,17/10/2021,81311,5117,851,4044869
5,24/10/2021,81733,5122,846,4044447
6,31/10/2021,82055,5132,839,4044122
7,07/11/2021,82420,5145,833,4043750
8,14/11/2021,82730,5152,827,4043439
9,21/11/2021,82996,5163,821,4043168
10,28/11/2021,83255,5171,814,4042908
11,05/12/2021,83423,5178,807,4042740
12,12/12/2021,83543,5188,800,4042617
13,19/12/2021,83715,5191,793,4042449
14,26/12/2021,84215,5203,790,4041940
15,02/01/2022,86564,5233,803,4039548
16,09/01/2022,91698,5279,842,4034329
17,16/01/2022,98883,5350,899,4027016
18,23/01/2022,106458,5440,958,4019292
19,30/01/2022,111574,5512,994,4014068
20,06/02/2022,114842,5566,1013,4010727
21,13/02/2022,116773,5615,1020,4008740
22,20/03/2022,118011,5643,1021,4007473
23,27/02/2022,118694,5652,1017,4006785
24,06/03/2022,119159,5661,1012,4006316
25,13/03/2022,119444,5669,1005,4006030
26,20/03/2022,119620,5683,997,4005848
