Semana,Fecha,Infectados,Expuestos,Recuperados,Susceptibles
0,06/09/2020,16519,2427,531,4112671
1,13/09/2020,17322,2471,538,4111817
2,20/09/2020,18136,2536,544,4110932
3,27/09/2020,18984,2591,551,4110022
4,04/10/2020,19871,2667,559,4109051
5,11/10/2020,20660,2734,563,4108191
6,18/10/2020,21378,2809,566,4107395
7,25/10/2020,22035,2864,567,4106682
8,01/11/2020,22651,2915,566,4106016
9,08/11/2020,23403,2959,569,4105217
10,15/11/2020,24035,3004,569,4104540
11,22/11/2020,24668,3048,569,4103863
12,29/11/2020,25519,3095,574,4102960
13,06/12/2020,26443,3148,580,4101977
14,13/12/2020,27495,3210,589,4100854
15,20/12/2020,28682,3274,600,4099592
16,27/12/2020,30038,3334,614,4098162
17,03/01/2021,32084,3474,642,4095948
18,10/01/2021,33892,3683,663,4093910
19,17/01/2021,35502,3683,680,4092283
20,24/01/2021,36954,3766,693,4090735
21,31/01/2021,38159,3836,701,4089452
22,07/02/2021,39290,3872,707,4088279
23,14/02/2021,40269,3920,711,4087248
24,21/02/2021,41385,3953,716,4086094
25,28/02/2021,42375,3988,720,4085065
26,07/03/2021,43222,4037,720,4084169
