Semana,Fecha,Infectados,Expuestos,Recuperados,Susceptibles
0,14/03/2021,43926,4037,719,4083466
1,21/03/2021,44516,4054,715,4082863
2,28/03/2021,44995,4068,710,4082375
3,04/04/2021,45444,4088,705,4081911
4,11/04/2021,45853,4102,699,4081494
5,18/04/2021,46168,4115,693,4081172
6,25/04/2021,46513,4131,686,4080818
7,02/05/2021,46842,4169,680,4080457
8,09/05/2021,47057,4207,672,4080212
9,16/05/2021,47285,4261,665,4079937
10,23/05/2021,47525,4293,658,4079672
11,30/05/2021,47678,4308,650,4079512
12,06/06/2021,47915,4321,644,4079268
13,13/06/2021,48187,4329,638,4078994
14,20/06/2021,48621,4350,634,4078543
15,27/06/2021,49346,4381,634,4077787
16,04/07/2021,50502,4440,640,4076566
17,11/07/2021,52387,4493,655,4074613
18,18/07/2021,55253,4543,681,4071671
19,25/07/2021,58632,4612,713,4068191
20,01/08/2021,62134,4663,746,4064605
21,08/08/2021,65516,4711,776,4061145
22,15/08/2021,68577,4775,802,4057994
23,22/08/2021,71169,4819,821,4055339
24,29/08/2021,73480,4878,837,4052953
25,05/09/2021,75396,4923,848,4050981
26,12/09/2021,76968,4953,855,4049372
