Semana,Fecha,Infectados,Expuestos,Recuperados,Susceptibles
0,02/10/2022,149523,6084,989,3975552
1,09/10/2022,149607,6092,983,3975466
2,16/10/2022,149704,6100,976,3975368
3,23/10/2022,149752,6103,970,3975323
4,30/10/2022,149783,6103,963,3975299
5,06/11/2022,149850,6112,956,3975230
6,13/11/2022,149906,6119,950,3975173
7,20/11/2022,150000,6123,944,3975081
8,27/11/2022,150139,6132,938,3974939
9,04/12/2022,150335,6139,933,3974741
10,11/12/2022,150698,6151,929,3974370
11,18/12/2022,151327,6159,926,3973736
12,25/12/2022,152004,6169,924,3973051
13,01/01/2023,152905,6180,924,3972139
14,08/01/2023,153866,6197,923,3971162
15,15/01/2023,154652,6212,922,3970362
16,22/01/2023,155367,6218,920,3969643
17,29/01/2023,155858,6228,917,3969145
18,05/02/2023,156234,6234,913,3968767
19,12/02/2023,156544,6241,909,3968454
20,19/02/2023,156886,6250,905,3968107
21,26/02/2023,157239,6263,901,3967745
22,05/03/2023,157600,6280,898,3967370
23,12/03/2023,157933,6285,894,3967036
24,19/03/2023,158226,6294,890,3966738
25,26/03/2023,158558,6297,886,3966407
26,02/04/2023,158793,6299,882,3966174
