SEMANA	FECHA	INFECTADOS	EXPUESTOS	RECUPERADOS	SUSCEPTIBLES
0	18/12/2022	150712	6153	942	3974341
1	25/12/2022	151336	6161	939	3973712
2	01/01/2023	152038	6172	937	3973001
3	08/01/2023	152946	6184	936	3972082
4	15/01/2023	153905	6199	936	3971108
5	22/01/2023	154701	6213	934	3970300
6	29/01/2023	155407	6221	932	3969588
7	05/02/2023	155877	6225	929	3969117
8	12/02/2023	156262	6238	925	3968723
9	19/02/2023	156564	6243	921	3968420
10	26/02/2023	156899	6253	917	3968079
11	05/03/2023	157253	6265	913	3967717
12	12/03/2023	157623	6280	909	3967336
13	19/03/2023	157944	6287	905	3967012
14	26/03/2023	158246	6294	901	3966707
15	02/04/2023	158570	6297	898	3966383
16	09/04/2023	158805	6300	893	3966150
17	16/04/2023	159125	6306	890	3965827
18	23/04/2023	159395	6308	886	3965559
19	30/04/2023	159656	6312	882	3965298
20	07/05/2023	159941	6316	878	3965013
21	14/05/2023	160180	6324	874	3964770
22	21/05/2023	160388	6328	870	3964562
23	28/05/2023	160552	6334	865	3964397
24	04/06/2023	160622	6339	860	3964327
25	11/06/2023	160667	6341	856	3964284
26	18/06/2023	160708	6350	851	3964239
